rating,description,title,brand,image_urls,product_url,price
0: No rating yet.,"The HP Pavilion 15- 15.6"" Laptop is part of our Everyday range of simple and reliable PCs. It's great for studying, working on essays, streaming TV on demand, and browsing the web. Powered by an IntelÂ® Coreâ„¢ i5 processor, it powers through tasks with ease from word processing to more power-intensive applications to help you get your tasks done faster.","HP Pavilion 15 Intel Core I5 (12GB RAM,1TB HDD) 15.6 Inch Touch Screen  + Headfone Windows 10 Laptop  - Blue",HP,"https://ng.jumia.is/T3NH3MVF4GsUOFumhcquOvkqEjg=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/69/867111/1.jpg?5927,https://ng.jumia.is/gDCKpIkY7X7KaD00o_RtOZ9K2pg=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/69/867111/2.jpg?5927,https://ng.jumia.is/JKtusWKo7IYSG27iHQrI5BFa0HU=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/69/867111/3.jpg?5927",https://www.jumia.com.ng/hp-pavilion-15-intel-core-i5-12gb-ram1tb-hdd-15.6-inch-touch-screen-headfone-windows-10-laptop-blue-11176896.html,#199000
0: No rating yet.,n/a,"Dell XPS 13 9365 2-in-1 7ThGen Intel Corei7,1.3GHz,512GB SSD,16GB RAM,Windows 10",Dell,"https://ng.jumia.is/Ttddn1GonimqYGOPnokFf61PTwQ=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/38/225501/1.jpg?7388,https://ng.jumia.is/eAk_e5GYZGBdZs-tplGLu5I2Fwo=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/38/225501/2.jpg?7388",https://www.jumia.com.ng/dell-xps-13-9365-2-in-1-7thgen-intel-corei71.3ghz512gb-ssd16gb-ramwindows-10-10552283.html,#630000
0: No rating yet.,"Operating System - Windows 10 Home 64
Processor - Intel core i3 with Intel HD Graphics (2.4 GHz, 2 MB cache, 2 cores)
Processor family - Intel core i3 processor
Memory - 4GB DDR3L SDRAM (1 x 4 GB)
Storage
- 1TB 5400 rpm SATA
- Dropbox; HP Connected Drive1
- SuperMulti DVD burner
Webcam - HP TrueVision HD Webcam (front-facing) with integrated digital microphone
Communication - Integrated 10/100 BASE-T Ethernet LAN; 802.11b/g/n (1x1) and Bluetooth 4.0 combo
Ease of use 2gb radeon graphics","HP 15 Intel Core I3-2.4Ghz Touch Screen + Freebag(4GB,1TB HDD) Windows 10 Laptop",HP,"https://ng.jumia.is/-RJ5mLy6Wv3a0MaacxzZpi_1SsA=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/29/064311/1.jpg?5035",https://www.jumia.com.ng/hp-15-intel-core-i3-2.4ghz-touch-screen-freebag4gb1tb-hdd-windows-10-laptop-11346092.html,#156000
0: No rating yet.,"HP Envy Core i5 8th Gen/12 GB/1 TB/Windows 10) laptop has a display for your daily needs which is very superfast and easy to use. This laptop is powered by processor, coupled with 12GB of RAM and has 1 TB HDD storage at this price point. As far as the graphics card is concerned this notebook has graphics card to manage the graphical functions. To keep it alive, it has a battery that can serve you as long as anywhere you go. It has lovely features making it very versatile and functional for business operations.Power Processor","HP ENVY X360 15M-BP111DX INTEL CORE I5 8250U 15.6"" 1TB HDD 12GB RAM +1year Mcafee Internet Security +32gb Flash",HP,"https://ng.jumia.is/1E1vBoagqPKVV0E1eHb0J15eMWY=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/22/875011/1.jpg?0974,https://ng.jumia.is/fS-zAUvlcbJwKx4hbo7_C6yClT4=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/22/875011/2.jpg?0974,https://ng.jumia.is/iW56taRzgY-a2AYpUerjWYt3ubI=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/22/875011/3.jpg?0974",https://www.jumia.com.ng/hp-envy-x360-15m-bp111dx-intel-core-i5-8250u-15.6-1tb-hdd-12gb-ram-1year-mcafee-internet-security-32gb-flash-11057822.html,#250000
0: No rating yet.,"HP Envy x360 Core i5 th Gen/12 GB/1 TB/Windows 10) laptop has a display for your daily needs which is very superfast and easy to use. This laptop is powered by processor, coupled with 12GB of RAM and has 1 TB HDD storage at this price point. As far as the graphics card is concerned this notebook has graphics card to manage the graphical functions. To keep it alive, it has a battery that can serve you as long as anywhere you go. It has lovely features making it very versatile and functional for business operations.Power Processor","HP ENVY X360 15M-BP111DX INTEL CORE I5 8250U 15.6"" 1TB HDD 12GB RAM Backlit Keyboard+ UNIVERSAL MODEM+ 32GB FLASH",HP,"https://ng.jumia.is/tS-tdYhn3AfoLmIb8rYbgLnI2V0=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/45/122011/1.jpg?1911,https://ng.jumia.is/AQluFiW7alyslFN5vNteXsScoOA=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/45/122011/2.jpg?1911,https://ng.jumia.is/2nSLibgQJQoyYMnNcfpi4z6sPPI=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/45/122011/3.jpg?1911",https://www.jumia.com.ng/hp-envy-x360-15m-bp111dx-intel-core-i5-8250u-15.6-1tb-hdd-12gb-ram-backlit-keyboard-universal-modem-32gb-flash-11022154.html,#270000
5: Based on 1 rating,n/a,Dell Alienware 17 R4 Core I7 1TB+512gb 32gb 8gb Nvidia 1080 Tobii Eye-Tracking Win 10 7th Gen,Dell,"https://ng.jumia.is/pl41kdaP1m2i1fbYjWsQfuGNkOY=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/22/73368/1.jpg?5442,https://ng.jumia.is/61RM-1wQcqdhlJhAAm32uxIdcVQ=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/22/73368/2.jpg?5442,https://ng.jumia.is/Chx54vYBjg-0j5fgg5vsCPgpVRk=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/22/73368/3.jpg?5442,https://ng.jumia.is/2HSmocR-T16C9jKgNLCiuUWDt5Y=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/22/73368/4.jpg?5442,https://ng.jumia.is/XGpTo3rj5UJtatUUdIudBT8pqwA=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/22/73368/5.jpg?5442",https://www.jumia.com.ng/dell-alienware-17-r4-core-i7-1tb512gb-32gb-8gb-nvidia-1080-tobii-eye-tracking-win-10-7th-gen-8633722.html,#1590000
0: No rating yet.,n/a,"Samsung Notebook 9 Pro NP940X5M-X01US 15"" Touch Screen Laptop, 7th Gen Intel Core I7-7500U Up To 2.7GHz, 16GB DDR4, 256GB SSD, Backlit Keyboard, Windows 10, Titan Silver",Samsung,"https://ng.jumia.is/JK7VCPcZ7UKsD92LfokGWxQCf3s=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/17/649701/1.jpg?1234",https://www.jumia.com.ng/samsung-notebook-9-pro-np940x5m-x01us-15-touch-screen-laptop-7th-gen-intel-core-i7-7500u-up-to-2.7ghz-16gb-ddr4-256gb-ssd-backlit-keyboard-windows-10-titan-silver-10794671.html,#368000
0: No rating yet.,"Operating System - Windows 10 Home 64

Processor - Intel® Pentium 3825U with Intel HD Graphics (1.9 GHz, 2 MB cache, 2 cores)

Processor family - Intel Pentium processor

Memory - 8GB DDR3L SDRAM 

Storage

- 500GB 5400 rpm SATA
- Dropbox; HP Connected Drive1
- SuperMulti DVD burner

Webcam - HP TrueVision HD Webcam (front-facing) with integrated digital microphone

Communication - Integrated 10/100 BASE-T Ethernet LAN; 802.11b/g/n (1x1) and Bluetooth® 4.0 combo

Ease of use - Kensington MicroSaver lock slot; Power-on password; Accepts third-party security lock devices

Display - 39.6 cm (15.6"") diagonal HD BrightView WLED-backlit (1366 x 768)

Video - Intel HD Graphics

Sound - DTS Studio Sound™ with 2 speakers

Keyboard - Full-size island-style keyboard with integrated numeric keypad

1 HDMI; 1 headphone/microphone combo; 2 USB 2.0; 1 USB 3.0; 1 RJ-45
1 multi-format SD media card reader

Battery Type - 4-cell, 41 Wh Li-ion

Power - 45W AC power adapter

Product Colour - White silver

Additional information P/N: N7J41EA #ABU

UPC/EAN code: 889894337276

Weight 2.19 kg; Packed: 3 kg;

Dimensions 38.43 x 25.46 x 2.43 cm; Packed: 47 x 29.4 x 7.6 cm

1year Hp Warranty",HP 15 Intel Pentium Quad Core (500GB HDD- 8GB RAM+ANTI-VIRUS 2 USER) Windows 10 Laptop - Silver,HP,"https://ng.jumia.is/yuuH2YnlGvDqi2swrO3XXDzcTzE=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/47/574901/1.jpg?6804,https://ng.jumia.is/leOAtxPPyzvhV-TIDoUXLT61810=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/47/574901/2.jpg?6804",https://www.jumia.com.ng/hp-15-intel-pentium-quad-core-500gb-hdd-8gb-ramanti-virus-2-user-windows-10-laptop-silver-10947574.html,#127900
0: No rating yet.,"
                ","HP Pavilion 13-U157 X360 Convertible  Core I5-2.5GHz,1tb/8gb Touch,Backlit Keyboard,No Dvd Rom,""13""Win10+Carrier Bag",HP,"https://ng.jumia.is/SgRtkSsmGtrtn5kOnn-tnoiqzHo=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/85/545111/1.jpg?1141,https://ng.jumia.is/BhovaYlEubU1Io0qmtdc5-D_U-c=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/85/545111/2.jpg?1141",https://www.jumia.com.ng/hp-pavilion-13-u157-x360-convertible-core-i5-2.5ghz1tb8gb-touchbacklit-keyboardno-dvd-rom13win10carrier-bag-11154558.html,#235000
0: No rating yet.,Hp 255 G5 AMD Quad-Core 500GB 4GB DVD 15.6SCREEN Windows 10 +16Gb Flash,HP 255 AMD Quad-Core 500GB 4GB DVD 15.6SCREEN Windows 10 +16Gb Flash,HP,"https://ng.jumia.is/yBCNLBBWjK7CGIxNWWb5QLdsICQ=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/00/967111/1.jpg?5930",https://www.jumia.com.ng/hp-255-amd-quad-core-500gb-4gb-dvd-15.6screen-windows-10-16gb-flash-11176900.html,#97000
